year,month,LST_Day_1km
2015,1,15700.641147808881
2015,2,15701.011961882077
2015,3,15417.30567911852
2015,4,15181.860146335433
2015,5,14989.934791221658
2015,6,14851.423430044175
2015,7,14804.368396112954
2015,8,14931.589766106501
2015,9,15400.033307535867
2015,10,15559.095981304174
2015,11,15757.62666084368
2015,12,15792.833293248623
2016,1,15776.627562748827
2016,2,15593.536702230149
2016,3,15464.013589835
2016,4,15255.661850976972
2016,5,14883.188298442054
2016,6,14763.431197234913
2016,7,14865.332542886179
2016,8,15100.087987302055
2016,9,15337.207157903687
2016,10,15691.243718329622
2016,11,15777.649106815408
2016,12,15808.039287251771
2017,1,15805.979644651225
2017,2,15736.804551595731
2017,3,15502.13545107317
2017,4,15294.431960225891
2017,5,14845.66495496315
2017,6,14706.644558712956
2017,7,14716.637137268232
2017,8,14933.368458878756
2017,9,15264.80392525701
2017,10,15543.150384624338
2017,11,15697.598762853773
2017,12,15729.149524751569
2018,1,15698.927661741629
2018,2,15651.177284958278
2018,3,15451.73632930449
2018,4,15230.423565565516
2018,5,14958.614012244532
2018,6,14763.699578067946
2018,7,14833.709593895755
2018,8,15104.903274302029
2018,9,15389.587798376326
2018,10,15620.299360630579
2018,11,15750.656148712358
2018,12,15815.994380292188
2019,1,15755.299711088748
2019,2,15701.682205194786
2019,3,15418.41416596107
2019,4,15233.297336291795
2019,5,14992.428618433341
2019,6,14856.458906487589
2019,7,14894.049563755587
2019,8,15146.951181015056
2019,9,15333.206666897851
2019,10,15631.990750116123
2019,11,15780.072509215046
2019,12,15752.60055101972
2020,1,15756.0717226633
2020,2,15667.217622642116
2020,3,15483.364552884976
2020,4,15214.162004907148
2020,5,15015.683165719069
2020,6,14822.962211713899
2020,7,14845.797047405678
2020,8,14992.51310052554
2020,9,15298.527432995113
2020,10,15643.592987645101
2020,11,15743.158369390665
2020,12,15752.629423858833
2021,1,15754.422568663513
2021,2,15665.860236745835
2021,3,15476.405844496087
2021,4,15200.447363798176
2021,5,15046.82414169163
2021,6,14776.654857960759
2021,7,14830.608719245667
2021,8,15057.574839843488
2021,9,15370.249666756867
2021,10,15570.443333215195
2021,11,15685.9157349179
2021,12,15757.607688793129
2022,1,15667.643196713687
2022,2,15642.172560370132
2022,3,15412.857820544785
2022,4,15193.711243587442
2022,5,14951.552548430176
2022,6,14695.770836804586
2022,7,14611.662009430811
2022,8,14912.864633179975
2022,9,15237.842216360707
2022,10,15364.605738717777
2022,11,15625.768274652613
2022,12,15708.10967713113
2023,1,15671.634768000187
2023,2,15566.066406417836
2023,3,15444.434239711845
2023,4,15147.502643703503
2023,5,14921.300171182898
2023,6,14840.748486143868
2023,7,14739.862390071828
2023,8,15061.613896388515
2023,9,15296.6789568284
2023,10,15486.535229652442
2023,11,15626.22545442068
2023,12,15611.110537443707
2024,1,15626.20246535816
2024,2,15495.125655334108
2024,3,15326.730405568904
2024,4,14999.924903627094
2024,5,14716.951305290175
2024,6,14686.942244206357
2024,7,14567.519044114968
2024,8,14807.146240510043
2024,9,15151.55853028225
2024,10,15383.134160321575
2024,11,15492.192093040681
2024,12,15499.767870538799
