year,month,NDVI
2015,1,817.2068471344614
2015,2,822.049424826848
2015,3,877.3086754756692
2015,4,1197.9990330872085
2015,5,1391.0534543089987
2015,6,1308.7598702631044
2015,7,1344.8726834738966
2015,8,1790.5883852646532
2015,9,1591.263210256919
2015,10,1365.2388920818246
2015,11,1181.6014618084944
2015,12,1111.2256448553467
2016,1,1056.5586949806084
2016,2,994.6709833591042
2016,3,1045.3121534519025
2016,4,1048.5030852407474
2016,5,1065.3201813872085
2016,6,1021.119814411889
2016,7,998.798243501001
2016,8,998.965015661071
2016,9,937.0888820302179
2016,10,898.938520298301
2016,11,886.998713519584
2016,12,888.9040363235887
2017,1,889.7571796117562
2017,2,906.73417358608
2017,3,934.0983448309748
2017,4,950.8742753187553
2017,5,1274.4796512682053
2017,6,1965.1175120833468
2017,7,2606.6233401793443
2017,8,2652.3247083642264
2017,9,2031.311348134626
2017,10,1610.1200041173668
2017,11,1488.4413704203944
2017,12,1353.7215755395139
2018,1,1306.0548524256815
2018,2,1286.3633522980592
2018,3,1299.2634245875686
2018,4,1311.926700801061
2018,5,1294.4644962470684
2018,6,1280.0230291032601
2018,7,1201.9591528291087
2018,8,1115.0259235191372
2018,9,1049.1222467728412
2018,10,1011.2598677205176
2018,11,988.6934356012042
2018,12,977.7854220362206
2019,1,977.2757099432123
2019,2,995.4149372642682
2019,3,1026.0932744805384
2019,4,1050.9356954137404
2019,5,1062.6882779654202
2019,6,1066.4515131008302
2019,7,1036.727081643442
2019,8,999.8012106437068
2019,9,952.7634012098935
2019,10,931.5267660702041
2019,11,924.3529064097853
2019,12,901.2167459192611
2020,1,902.3655160394222
2020,2,919.0538232901303
2020,3,943.280978394941
2020,4,969.2141975052652
2020,5,983.0743066892189
2020,6,1097.122238972838
2020,7,1166.2398352045063
2020,8,1101.578071446037
2020,9,998.7715812298586
2020,10,941.3924236940339
2020,11,934.3074432863142
2020,12,901.5358053429497
2021,1,895.028413737076
2021,2,912.6850186265742
2021,3,940.9811155957506
2021,4,946.8239780161624
2021,5,961.0338216838062
2021,6,960.5741272915753
2021,7,965.5157749169098
2021,8,944.8288476933665
2021,9,901.1200525075699
2021,10,857.1244422965408
2021,11,839.8480082811174
2021,12,826.7650649091861
2022,1,818.0177287750215
2022,2,838.8595225502299
2022,3,848.8331679082484
2022,4,855.0905203354655
2022,5,838.082204513263
2022,6,935.3529693152688
2022,7,1202.5954824540177
2022,8,1702.2132550417632
2022,9,1737.3290076712308
2022,10,1487.772540655856
2022,11,1418.6682099854709
2022,12,1279.2252276121444
2023,1,1230.3613139438874
2023,2,1220.1443062088217
2023,3,1210.4741468832715
2023,4,1211.553056582498
2023,5,1175.4872076337192
2023,6,1154.835591864543
2023,7,1113.3239191545993
2023,8,1063.0007801268498
2023,9,996.0935677121294
2023,10,951.192974474836
2023,11,934.8450591393992
2023,12,923.2423616808126
2024,1,918.1668693359533
2024,2,924.1208154377259
2024,3,959.4799849686092
2024,4,995.5161712991046
2024,5,972.4765930401087
2024,6,1007.852633760746
2024,7,1018.582430334424
2024,8,1011.7534495251625
2024,9,948.2134062785886
2024,10,902.8936869829945
2024,11,864.811562630064
2024,12,847.2289231207969
